id,infinitiv,präsens,präteritum,partizip2,translation
127,singen,singt,sang,gesungen,петь
128,sinken,sinkt,sank,gesunken,"снижаться,погружаться,тонуть"
129,sinnen,sinnt,sann,gesonnen,"думать,размышлять"
130,sitzen,sitzt,saß,gesessen,сидеть
131,sollen,soll,sollte,gesollt,долженствовать
132,speien,speit,spie,gespien,выплёвывать
133,spinnen,spinnt,spann,gesponnen,прясть
134,sprechen,spricht,sprach,gesprochen,говорить
135,sprießen,sprießt,spross,gesprossen,"пускатьростки,почки"
136,springen,springt,sprang,gesprungen,"прыгать,скакать"
137,stechen,sticht,stach,gestochen,колоть
138,stehen,steht,stand,gestanden,"стоять,находиться"
139,stehlen,stiehlt,stahl,gestohlen,воровать
140,steigen,steigt,stieg,gestiegen,подниматься
141,sterben,stirbt,starb,gestorben,умирать
142,stinken,stinkt,stank,gestunken,вонять
143,stoßen,stößt,stieß,gestoßen,толкать
144,streichen,streicht,strich,gestrichen,гладить
145,streiten,streitet,stritt,gestritten,спорить
146,tragen,trägt,trug,getragen,носить
147,treffen,trifft,traf,getroffen,встречать
148,treiben,treibt,trieb,getrieben,гнать
149,treten,tritt,trat,getreten,ступать
150,trinken,trinkt,trank,getrunken,пить
151,trügen,trügt,trog,getrogen,обманывать
152,tun,tut,tat,getan,делать
153,verderben,verdirbt,verdarb,verdorben,портить
154,verdrießen,verdrießt,verdross,verdrossen,"сердить,досаждать"
155,vergessen,vergisst,vergaß,vergessen,забывать
156,verlieren,verliert,verlor,verloren,терять
157,verzeihen,verzeiht,verzieh,verziehen,прощать
158,wachsen,wächst,wuchs,gewachsen,расти
159,wägen,wägt,wog,gewogen,взвешивать
160,waschen,wäscht,wusch,gewaschen,мыть
161,weichen,weicht,wich,gewichen,"уклоняться,уворачиваться"
162,weisen,we,wies,gewiesen,указывать
163,wenden,wendet,wandte/wendete,gewandt/gewendet,поворачивать
164,werben,wirbt,warb,geworben,рекламировать
165,werden,wird,wurde,geworden,становиться
166,werfen,wirft,warf,geworfen,кидать
167,wiegen,wiegt,wog,gewogen,"качать,весить"
168,winden,windet,wand,gewunden,мотать
169,wissen,weiß,wusste,gewusst,знать
170,wollen,will,wollte,gewollt,хотеть
171,ziehen,zieht,zog,gezogen,тащить
172,zwingen,zwingt,zwang,gezwungen,принуждать
